GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,7,2,6 NATIONS,FRA,1,0,1,0,0,0,5,0
2,15,2,6 NATIONS,WAL,2,2,3,0,2,2,4,0
3,28,2,6 NATIONS,ITA,1,1,4,0,3,2,1,0
4,14,3,6 NATIONS,ENG,1,1,2,0,3,2,2,0
5,21,3,6 NATIONS,IRE,1,1,1,0,4,4,4,0
6,15,8,TEST,IRE,3,2,1,0,4,4,0,0
7,22,8,TEST,ITA,1,1,3,0,0,0,4,0
8,29,8,TEST,ITA,6,3,4,0,1,1,0,0
9,5,9,TEST,FRA,1,1,3,0,1,1,4,0
10,23,9,RWC,JPN,5,4,4,0,1,1,1,0
11,27,9,RWC,USA,5,4,2,0,1,1,3,0
12,3,10,RWC,RSA,1,1,3,0,3,2,4,1
13,10,10,RWC,SAM,3,3,5,0,4,2,3,0
14,18,10,RWC,AUS,3,2,5,0,5,2,2,0
